,breed,fur,fur_color,image,life_expectancy,description
13,Australian terrier,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Australian_Terrier.jpg/220px-Australian_Terrier.jpg,14,Australian terrier to mały, ale odważny pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Australii.
14,Basenji,Krótkie,Rudy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Basenji.jpg/220px-Basenji.jpg,14,Basenji to mały pies myśliwski, znany ze swojej wyjątkowej cechy - braku szczekania. Pochodzi z Afryki Środkowej.
15,Basset hound,Krótkie,Trójkolorowy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Basset_Hound.jpg/220px-Basset_Hound.jpg,12,Basset hound to rasa psa myśliwskiego, znana ze swojego doskonałego węchu i długich uszu. Pochodzi z Francji.
16,Beagle,Krótkie,Trójkolorowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Beagle.jpg/220px-Beagle.jpg,15,Beagle to mały pies myśliwski, znany ze swojego doskonałego węchu i przyjaznego charakteru. Pochodzi z Wielkiej Brytanii.
17,Owczarek Beardie,Długie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Bearded_Collie.jpg/220px-Bearded_Collie.jpg,14,Owczarek Beardie to średniej wielkości pies pasterski, znany ze swojego długiego futra i energicznej osobowości. Pochodzi z Wielkiej Brytanii.
18,Beauceron,Krótkie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Beauceron.jpg/220px-Beauceron.jpg,12,Beauceron to duży pies pasterski, znany ze swojej inteligencji i zdolności do pracy. Pochodzi z Francji.
19,Terier bedlington,Krótkie,Szary,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Bedlington_Terrier.jpg/220px-Bedlington_Terrier.jpg,14,Terier bedlington to mały pies, znany ze swojego wyglądu przypominającego owcę. Pochodzi z Wielkiej Brytanii.
20,Owczarek belgijski malinois,Krótkie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Malinois_dog.jpg/220px-Malinois_dog.jpg,14,Owczarek belgijski malinois to inteligentny i energiczny pies pracujący, znany ze swojej zdolności do pracy w policji i wojsku. Pochodzi z Belgii.
21,Owczarek belgijski groenendael,Średnie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Belgian_Groenendael.jpg/220px-Belgian_Groenendael.jpg,13,Owczarek belgijski groenendael to wszechstronny pies pasterski, znany ze swojej inteligencji i eleganckiego wyglądu. Pochodzi z Belgii.
22,Owczarek belgijski tervuren,Średnie,Rudy i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Belgian_Tervuren.jpg/220px-Belgian_Tervuren.jpg,12,Owczarek belgijski tervuren to inteligentny i energiczny pies pasterski, znany ze swojej zdolności do pracy w różnych warunkach. Pochodzi z Belgii.
23,Berneński pies pasterski,Długie,Trójkolorowy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Bernese_Mountain_Dog.jpg/220px-Bernese_Mountain_Dog.jpg,8,Berneński pies pasterski to duży, przyjazny pies pasterski, znany ze swojego łagodnego charakteru i zdolności do pracy. Pochodzi ze Szwajcarii.
24,Bichon frise,Średnie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Bichon_Frise.jpg/220px-Bichon_Frise.jpg,14,Bichon frise to mały, przyjazny pies, znany ze swojego puszystego futra i radosnej osobowości. Pochodzi z Francji.
25,Czarny terier rosyjski,Średnie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Black_Russian_Terrier.jpg/220px-Black_Russian_Terrier.jpg,11,Czarny terier rosyjski to duży pies pracujący, znany ze swojej siły i wytrzymałości. Pochodzi z Rosji.
26,Bloodhound,Krótkie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Bloodhound.jpg/220px-Bloodhound.jpg,10,Bloodhound to rasa psa myśliwskiego, znana ze swojego doskonałego węchu i zdolności do śledzenia. Pochodzi z Belgii.
27,Bluetick coonhound,Krótkie,Biały i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bluetick_Coonhound.jpg/220px-Bluetick_Coonhound.jpg,11,Bluetick coonhound to rasa psa myśliwskiego, znana ze swojej zdolności do śledzenia i polowania na szopy. Pochodzi z USA.
28,Border collie,Średnie,Czarny i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Border_Collie.jpg/220px-Border_Collie.jpg,12,Border collie to inteligentny i energiczny pies pasterski, znany ze swojej zdolności do pracy z owcami. Pochodzi z Wielkiej Brytanii.
29,Border terrier,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Border_Terrier.jpg/220px-Border_Terrier.jpg,14,Border terrier to mały, ale odważny pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
30,Chart borzoj,Długie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Borzoi.jpg/220px-Borzoi.jpg,10,Chart borzoj to elegancki pies myśliwski, znany ze swojej szybkości i zdolności do polowania na zające. Pochodzi z Rosji.
31,Boston terrier,Krótkie,Czarny i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Boston_Terrier.jpg/220px-Boston_Terrier.jpg,13,Boston terrier to mały, przyjazny pies, znany ze swojej radosnej osobowości i charakterystycznych oznakowań. Pochodzi z USA.
32,Bouvier des Flandres,Długie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Bouvier_des_Flandres.jpg/220px-Bouvier_des_Flandres.jpg,11,Bouvier des Flandres to duży pies pasterski, znany ze swojej siły i zdolności do pracy. Pochodzi z Belgii.
33,Bokser,Krótkie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Boxer.jpg/220px-Boxer.jpg,10,Bokser to duży pies, znany ze swojej siły i energii. Pochodzi z Niemiec.
34,Boykin spaniel,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Boykin_Spaniel.jpg/220px-Boykin_Spaniel.jpg,14,Boykin spaniel to mały pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z USA.
35,Briard,Długie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Briard.jpg/220px-Briard.jpg,12,Briard to duży pies pasterski, znany ze swojego długiego futra i zdolności do pracy. Pochodzi z Francji.
36,Bretania,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Brittany.jpg/220px-Brittany.jpg,12,Bretania to mały pies myśliwski, znany ze swojej energii i zdolności do pracy. Pochodzi z Francji.
37,Griffon brukselski,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Brussels_Griffon.jpg/220px-Brussels_Griffon.jpg,12,Griffon brukselski to mały pies, znany ze swojej energii i charakterystycznego wyglądu. Pochodzi z Belgii.
38,Bulterier,Krótkie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Bull_Terrier.jpg/220px-Bull_Terrier.jpg,13,Bulterier to muskularny pies, znany ze swojej odwagi i charakterystycznego kształtu głowy. Pochodzi z Wielkiej Brytanii.
39,Bulldog,Krótkie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Bulldog.jpg/220px-Bulldog.jpg,8,Bulldog to średniej wielkości pies, znany ze swojej muskularnej budowy i przyjaznego charakteru. Pochodzi z Wielkiej Brytanii.
40,Bullmastiff,Krótkie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Bullmastiff.jpg/220px-Bullmastiff.jpg,10,Bullmastiff to duży pies, znany ze swojej siły i zdolności do pracy jako pies stróżujący. Pochodzi z Wielkiej Brytanii.
41,Cairn terrier,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Cairn_Terrier.jpg/220px-Cairn_Terrier.jpg,14,Cairn terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
42,Canaan dog,Krótkie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Canaan_Dog.jpg/220px-Canaan_Dog.jpg,13,Canaan dog to średniej wielkości pies, znany ze swojej wytrzymałości i zdolności do pracy jako pies pasterski. Pochodzi z Izraela.
43,Cane corso,Krótkie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Cane_Corso.jpg/220px-Cane_Corso.jpg,10,Cane corso to duży pies stróżujący, znany ze swojej siły i odwagi. Pochodzi z Włoch.
44,Cardigan welsh corgi,Średnie,Brązowy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Cardigan_Welsh_Corgi.jpg/220px-Cardigan_Welsh_Corgi.jpg,14,Cardigan welsh corgi to mały pies pasterski, znany ze swojej inteligencji i krótkich nóg. Pochodzi z Walii.
45,Cavalier King Charles spaniel,Średnie,Brązowy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Cavalier_King_Charles_Spaniel.jpg/220px-Cavalier_King_Charles_Spaniel.jpg,12,Cavalier King Charles spaniel to mały pies, znany ze swojego przyjaznego charakteru i eleganckiego wyglądu. Pochodzi z Wielkiej Brytanii.
46,Chesapeake Bay retriever,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Chesapeake_Bay_Retriever.jpg/220px-Chesapeake_Bay_Retriever.jpg,12,Chesapeake Bay retriever to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy w trudnych warunkach. Pochodzi z USA.
47,Chihuahua,Krótkie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Chihuahua.jpg/220px-Chihuahua.jpg,14,Chihuahua to mały pies, znany ze swojej energii i charakterystycznego wyglądu. Pochodzi z Meksyku.
48,Chiński grzywacz,Średnie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Chinese_Crested.jpg/220px-Chinese_Crested.jpg,14,Chiński grzywacz to mały pies, znany ze swojego charakterystycznego wyglądu z nagą skórą i włosami na głowie. Pochodzi z Chin.
49,Shar pei,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Shar_Pei.jpg/220px-Shar_Pei.jpg,10,Shar pei to średniej wielkości pies, znany ze swojej pomarszczonej skóry i spokojnego charakteru. Pochodzi z Chin.
50,Chow chow,Długie,Czerwony,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Chow_Chow.jpg/220px-Chow_Chow.jpg,12,Chow chow to średniej wielkości pies, znany ze swojej puszystej sierści i charakterystycznego niebieskiego języka. Pochodzi z Chin.
51,Clumber spaniel,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Clumber_Spaniel.jpg/220px-Clumber_Spaniel.jpg,10,Clumber spaniel to duży pies myśliwski, znany ze swojej zdolności do pracy w trudnych warunkach. Pochodzi z Wielkiej Brytanii.
52,Cocker spaniel,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Cocker_Spaniel.jpg/220px-Cocker_Spaniel.jpg,12,Cocker spaniel to mały pies myśliwski, znany ze swojej energii i przyjaznego charakteru. Pochodzi z Wielkiej Brytanii.
53,Collie,Długie,Trójkolorowy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Collie.jpg/220px-Collie.jpg,14,Collie to średniej wielkości pies pasterski, znany ze swojej inteligencji i zdolności do pracy z owcami. Pochodzi z Wielkiej Brytanii.
54,Curly-coated retriever,Średnie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Curly-coated_Retriever.jpg/220px-Curly-coated_Retriever.jpg,12,Curly-coated retriever to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Wielkiej Brytanii.
55,Jamnik,Krótkie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Dachshund.jpg/220px-Dachshund.jpg,12,Jamnik to mały pies myśliwski, znany ze swojej wydłużonej budowy ciała i zdolności do polowania na borsuki. Pochodzi z Niemiec.
56,Dalmatyńczyk,Krótkie,Biały i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Dalmatian.jpg/220px-Dalmatian.jpg,12,Dalmatyńczyk to średniej wielkości pies, znany ze swojego charakterystycznego umaszczenia w białe i czarne plamy. Pochodzi z Chorwacji.
57,Dandie dinmont terrier,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Dandie_Dinmont_Terrier.jpg/220px-Dandie_Dinmont_Terrier.jpg,13,Dandie dinmont terrier to mały pies, znany ze swojej wydłużonej budowy ciała i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
58,Doberman,Krótkie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Doberman.jpg/220px-Doberman.jpg,10,Doberman to duży pies stróżujący, znany ze swojej inteligencji i zdolności do pracy jako pies policyjny. Pochodzi z Niemiec.
59,Dogue de Bordeaux,Krótkie,Czerwony,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Dogue_de_Bordeaux.jpg/220px-Dogue_de_Bordeaux.jpg,10,Dogue de Bordeaux to duży pies stróżujący, znany ze swojej siły i odwagi. Pochodzi z Francji.
60,English cocker spaniel,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/English_Cocker_Spaniel.jpg/220px-English_Cocker_Spaniel.jpg,12,English cocker spaniel to mały pies myśliwski, znany ze swojej energii i przyjaznego charakteru. Pochodzi z Wielkiej Brytanii.
61,Seter angielski,Długie,Biały i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/English_Setter.jpg/220px-English_Setter.jpg,12,Seter angielski to średniej wielkości pies myśliwski, znany ze swojej elegancji i zdolności do pracy w polu. Pochodzi z Wielkiej Brytanii.
62,Springer spaniel angielski,Średnie,Biały i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/English_Springer_Spaniel.jpg/220px-English_Springer_Spaniel.jpg,12,Springer spaniel angielski to mały pies myśliwski, znany ze swojej energii i zdolności do pracy w trudnych warunkach. Pochodzi z Wielkiej Brytanii.
63,English toy spaniel,Średnie,Brązowy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/English_Toy_Spaniel.jpg/220px-English_Toy_Spaniel.jpg,12,English toy spaniel to mały pies, znany ze swojej przyjaznej osobowości i eleganckiego wyglądu. Pochodzi z Wielkiej Brytanii.
64,Entlebucher,Średnie,Trójkolorowy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Entlebucher_Mountain_Dog.jpg/220px-Entlebucher_Mountain_Dog.jpg,12,Entlebucher to średniej wielkości pies pasterski, znany ze swojej wytrzymałości i zdolności do pracy. Pochodzi ze Szwajcarii.
65,Field spaniel,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Field_Spaniel.jpg/220px-Field_Spaniel.jpg,12,Field spaniel to mały pies myśliwski, znany ze swojej energii i zdolności do pracy w polu. Pochodzi z Wielkiej Brytanii.
66,Szpic fiński,Średnie,Rudy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Finnish_Spitz.jpg/220px-Finnish_Spitz.jpg,12,Szpic fiński to średniej wielkości pies, znany ze swojej energii i zdolności do pracy w trudnych warunkach. Pochodzi z Finlandii.
67,Flat-coated retriever,Długie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flat-Coated_Retriever.jpg/220px-Flat-Coated_Retriever.jpg,10,Flat-coated retriever to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Wielkiej Brytanii.
68,Bulldog francuski,Krótkie,Biały i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/French_Bulldog.jpg/220px-French_Bulldog.jpg,11,Bulldog francuski to mały pies, znany ze swojej muskularnej budowy i przyjaznego charakteru. Pochodzi z Francji.
69,Pinscher niemiecki,Krótkie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/German_Pincher.jpg/220px-German_Pincher.jpg,14,Pinscher niemiecki to średniej wielkości pies, znany ze swojej energii i zdolności do pracy jako pies stróżujący. Pochodzi z Niemiec.
70,Owczarek niemiecki,Krótkie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/German_Shepherd_Dog.jpg/220px-German_Shepherd_Dog.jpg,10,Owczarek niemiecki to duży pies pracujący, znany ze swojej inteligencji i zdolności do pracy jako pies policyjny i wojskowy. Pochodzi z Niemiec.
71,Wyżeł niemiecki krótkowłosy,Krótkie,Czarny i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/German_Shorthaired_Pointer.jpg/220px-German_Shorthaired_Pointer.jpg,12,Wyżeł niemiecki krótkowłosy to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Niemiec.
72,Wyżeł niemiecki szorstkowłosy,Średnie,Czarny i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/German_Wirehaired_Pointer.jpg/220px-German_Wirehaired_Pointer.jpg,14,Wyżeł niemiecki szorstkowłosy to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Niemiec.
73,Sznaucer olbrzym,Średnie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Giant_Schnauzer.jpg/220px-Giant_Schnauzer.jpg,10,Sznaucer olbrzym to duży pies pracujący, znany ze swojej siły i zdolności do pracy jako pies stróżujący. Pochodzi z Niemiec.
74,Glen of Imaal terrier,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Glen_of_Imaal_Terrier.jpg/220px-Glen_of_Imaal_Terrier.jpg,14,Glen of Imaal terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Irlandii.
75,Golden retriever,Średnie,Złoty,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Golden_Retriever.jpg/220px-Golden_Retriever.jpg,12,Golden retriever to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Wielkiej Brytanii.
76,Seter gordon,Długie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Gordon_Setter.jpg/220px-Gordon_Setter.jpg,12,Seter gordon to średniej wielkości pies myśliwski, znany ze swojej elegancji i zdolności do pracy w polu. Pochodzi z Wielkiej Brytanii.
77,Dog niemiecki,Krótkie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Great_Dane.jpg/220px-Great_Dane.jpg,8,Dog niemiecki to duży pies, znany ze swojej imponującej wielkości i łagodnego charakteru. Pochodzi z Niemiec.
78,Pirenejski pies górski,Długie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Great_Pyrenees.jpg/220px-Great_Pyrenees.jpg,10,Pirenejski pies górski to duży pies pasterski, znany ze swojej zdolności do pracy w trudnych warunkach. Pochodzi z Francji.
79,Greater swiss mountain dog,Średnie,Trójkolorowy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Greater_Swiss_Mountain_Dog.jpg/220px-Greater_Swiss_Mountain_Dog.jpg,10,Greater swiss mountain dog to duży pies pasterski, znany ze swojej siły i zdolności do pracy. Pochodzi ze Szwajcarii.
80,Chart greyhound,Krótkie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Greyhound.jpg/220px-Greyhound.jpg,10,Chart greyhound to elegancki pies myśliwski, znany ze swojej szybkości i zdolności do polowania na zające. Pochodzi z Wielkiej Brytanii.
81,Hawańczyk,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Havanese.jpg/220px-Havanese.jpg,14,Hawańczyk to mały pies, znany ze swojej przyjaznej osobowości i eleganckiego wyglądu. Pochodzi z Kuby.
82,Chart iberyjski,Krótkie,Rudy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ibizan_Hound.jpg/220px-Ibizan_Hound.jpg,12,Chart iberyjski to elegancki pies myśliwski, znany ze swojej szybkości i zdolności do polowania na króliki. Pochodzi z Hiszpanii.
83,Islandzki pies pasterski,Średnie,Trójkolorowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Icelandic_Sheepdog.jpg/220px-Icelandic_Sheepdog.jpg,12,Islandzki pies pasterski to średniej wielkości pies pasterski, znany ze swojej wytrzymałości i zdolności do pracy w trudnych warunkach. Pochodzi z Islandii.
84,Seter irlandzki czerwono-biały,Długie,Czerwony i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Irish_Red_and_White_Setter.jpg/220px-Irish_Red_and_White_Setter.jpg,12,Seter irlandzki czerwono-biały to elegancki pies myśliwski, znany ze swojej zdolności do pracy w polu. Pochodzi z Irlandii.
85,Seter irlandzki,Długie,Czerwony,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Irish_Setter.jpg/220px-Irish_Setter.jpg,12,Seter irlandzki to elegancki pies myśliwski, znany ze swojej zdolności do pracy w polu. Pochodzi z Irlandii.
86,Terier irlandzki,Średnie,Rudy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Irish_Terrier.jpg/220px-Irish_Terrier.jpg,13,Terier irlandzki to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Irlandii.
87,Spaniel irlandzki,Średnie,Czerwony,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Irish_Spaniel.jpg/220px-Irish_Spaniel.jpg,12,Spaniel irlandzki to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Irlandii.
88,Chart irlandzki wilczarz,Długie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Irish_Wolfhound.jpg/220px-Irish_Wolfhound.jpg,8,Chart irlandzki wilczarz to duży pies myśliwski, znany ze swojej imponującej wielkości i zdolności do polowania na wilki. Pochodzi z Irlandii.
89,Chart włoski,Krótkie,Czarny i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Italian_Greyhound.jpg/220px-Italian_Greyhound.jpg,14,Chart włoski to elegancki pies myśliwski, znany ze swojej szybkości i zdolności do polowania na króliki. Pochodzi z Włoch.
90,Chin japoński,Średnie,Biały i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Japanese_Chin.jpg/220px-Japanese_Chin.jpg,12,Chin japoński to mały pies, znany ze swojej przyjaznej osobowości i eleganckiego wyglądu. Pochodzi z Japonii.
91,Keeshond,Średnie,Szary i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Keeshond.jpg/220px-Keeshond.jpg,12,Keeshond to średniej wielkości pies, znany ze swojej energii i puszystego futra. Pochodzi z Holandii.
92,Kerry blue terrier,Średnie,Niebieski,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Kerry_Blue_Terrier.jpg/220px-Kerry_Blue_Terrier.jpg,12,Kerry blue terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Irlandii.
93,Komondor,Długie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Komondor.jpg/220px-Komondor.jpg,12,Komondor to duży pies pasterski, znany ze swojej charakterystycznej sierści w formie sznurków. Pochodzi z Węgier.
94,Kuvasz,Długie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Kuvasz.jpg/220px-Kuvasz.jpg,12,Kuvasz to duży pies pasterski, znany ze swojej zdolności do pracy w trudnych warunkach. Pochodzi z Węgier.
95,Labrador retriever,Średnie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Labrador_Retriever.jpg/220px-Labrador_Retriever.jpg,12,Labrador retriever to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Kanady.
